sch_id,sch_freelunch,stu_ses,stu_mathscore
1011,6,-0.0599483039078208,52.11
1011,6,1.05165224357876,57.65
1011,6,-0.863514964741495,66.44
1011,6,-0.79655107633869,44.68
1011,6,-1.61351051485292,40.57
1011,6,-1.15815607371384,35.04
1011,6,0.636476135481364,50.71
1011,6,0.0605866952172304,66.17
1011,6,-1.06440662994991,39.43
1011,6,-1.35904773892226,46.17
1011,6,0.0338011398561079,58.76
1011,6,0.234692805064526,47.97
1011,6,-0.79655107633869,39.18
1011,6,0.0605866952172304,64.63
1011,6,1.60075612848177,69.38
1011,6,0.569512247078557,32.38
1011,6,0.355227804189578,29.98
1011,6,-1.53315384876956,59.32
1011,6,-0.48851718968578,43.04
1011,6,1.85521890441244,57.83
1011,6,-0.568873855769148,46.07
1011,6,-0.649230521852515,47.74
1011,6,-0.649230521852515,48.66
1011,6,-1.35904773892226,40.8
1011,6,-0.582266633449709,66.32
1011,6,0.114157805939475,53.7
1011,6,-1.06440662994991,52.42
1011,6,0.623083357800802,71.38
1011,6,0.91772446677315,59.66
1011,6,0.0605866952172304,47.52
1011,6,-1.27869107283889,39.51
1031,1,1.58736335080121,57.57
1031,1,-1.21172718443609,42.4
1031,1,0.448977247953506,41.41
1031,1,0.355227804189578,55.22
1031,1,0.971295577495395,43.9
1031,1,1.34629335255111,53.04
1031,1,1.06504502125932,49
1031,1,0.529333914036874,62.45
1031,1,-0.274232746796801,53.78
1031,1,-0.354589412880168,49.08
1031,1,-1.01083551922767,40.25
1031,1,-0.957264408505424,43.08
1031,1,0.462370025634068,52.43
1031,1,-1.09119218531104,21.73
1031,1,-0.756372743297005,53.68
1031,1,-0.193876080713433,41.45
1031,1,0.676654468523047,45.47
1031,1,-0.957264408505424,34.06
1031,1,-0.542088300408025,33.45
1031,1,1.39986446327335,60.78
1031,1,-0.635837744171954,35.92
1031,1,0.81058224532866,52.4
1033,5,-1.02422829690823,40.69
1033,5,-2.02868662295032,43.22
1033,5,0.0338011398561079,45.57
1033,5,0.770403912286976,46.73
1033,5,-1.11797774067216,49.2
1033,5,-0.91708607546374,50.27
1033,5,-0.635837744171954,42.79
1033,5,1.01147391053708,61.03
1033,5,-0.48851718968578,53.03
1033,5,-0.287625524477362,37.98
1033,5,1.868611682093,50.42
1033,5,0.27487113810621,54.19
1033,5,-1.62690329253349,55.95
1033,5,-0.475124412005219,40.53
1033,5,-0.80994385401925,55.59
1033,5,-1.03762107458879,69.12
1033,5,1.88200445977356,54.18
1033,5,-1.30547662820002,41.88
1033,5,-0.836729409380373,47.14
1033,5,0.582905024759119,42.86
1033,5,-0.260839969116239,49.12
1033,5,-1.07779940763047,52.04
1033,5,0.435584470272945,38.34
1301,4,0.502548358675751,55
1301,4,-0.220661636074556,54.23
1301,4,0.0605866952172304,53.4
1301,4,1.44004279631504,34.34
1301,4,-0.354589412880168,48.07
1301,4,-0.180483303032872,53.65
1301,4,0.181121694342282,46.6
1301,4,1.49361390703728,60.93
1301,4,0.248085582745088,56.3
1301,4,-0.930478853144301,31.21
1301,4,-1.13137051835272,31.56
1301,4,-0.716194410255321,31.53
1301,4,0.408798914911823,59.25
1301,4,0.288263915786771,31.31
1301,4,-0.79655107633869,51.54
1301,4,-0.662623299533076,57.84
1301,4,-0.501909967366342,42.3
1301,4,0.770403912286976,56.57
1301,4,1.01147391053708,43.38
1302,3,-0.0867338592689433,33.3
1302,3,0.248085582745088,33.24
1302,3,-0.876907742422056,39.66
1302,3,-0.394767745921852,49.48
1302,3,-0.167090525352311,24.88
1302,3,-1.26529829515833,32.72
