8.00 42.90 19.80 43.41 10.00 70.00 1.00  15.00
6.00 23.10 10.50 33.80 15.80 78.00 1.00  20.60
6.00 25.00 8.80 31.39 14.50 71.00 1.00  18.00
4.00 9.80 6.80 21.55 16.50 78.00 1.00  30.00
4.00 11.30 9.50 22.78 15.50 72.00 3.00  24.00
6.00 23.20 9.00 30.85 17.60 76.00 1.00  22.50
8.00 45.50 22.50 44.25 10.00 70.00 1.00  14.00
4.00 8.50 7.00 20.70 18.60 78.00 3.00  39.40
6.00 25.00 10.50 34.59 16.00 75.00 1.00  18.00
4.00 10.50 7.00 21.50 14.90 79.00 1.00  34.50
4.00 12.10 7.60 25.11 18.00 72.00 2.00  22.00
4.00 8.60 6.40 18.75 16.40 81.00 1.00  39.00
6.00 25.00 8.80 30.21 16.50 73.00 1.00  18.00
4.00 8.50 5.20 20.35 22.20 76.00 1.00  29.00
4.00 12.10 11.20 29.33 14.50 72.00 2.00  18.00
4.00 15.10 8.50 28.55 17.60 78.00 1.00  23.80
6.00 25.80 12.00 34.10 15.10 78.00 1.00  18.10
6.00 25.80 11.00 36.32 18.00 74.00 1.00  16.00
4.00 10.70 7.50 22.10 14.40 81.00 3.00  33.70
6.00 20.00 8.10 30.12 17.60 76.00 1.00  24.00
4.00 15.10 8.80 27.40 16.00 77.00 1.00  24.50
8.00 35.00 15.50 43.60 14.90 79.00 1.00  16.90
4.00 9.10 6.80 20.25 18.20 82.00 3.00  37.00
4.00 14.00 7.80 25.92 18.50 75.00 1.00  23.00
4.00 11.90 9.70 23.00 14.70 78.00 3.00  27.20
8.00 26.70 12.50 36.05 15.00 79.00 1.00  19.20
6.00 25.00 10.00 32.78 18.00 73.00 1.00  16.00
4.00 9.70 5.20 21.30 24.60 82.00 2.00  44.00
4.00 9.70 5.40 22.54 23.50 72.00 2.00  23.00
6.00 25.00 10.00 37.81 17.00 74.00 1.00  16.00
8.00 26.00 9.00 34.20 22.20 79.00 1.00  23.90
4.00 11.20 8.80 23.95 18.00 82.00 1.00  34.00
8.00 31.80 14.00 40.80 13.70 78.00 1.00  17.50
4.00 9.70 8.80 21.30 14.50 71.00 3.00  27.00
4.00 14.10 7.10 31.90 24.80 79.00 2.00  27.20
4.00 7.90 5.80 18.25 18.60 77.00 2.00  36.00
6.00 14.60 12.00 29.30 13.80 81.00 3.00  24.20
6.00 25.80 11.00 29.62 13.50 71.00 1.00  18.00
4.00 14.00 9.20 28.65 16.40 82.00 1.00  24.00
4.00 9.10 5.30 17.95 17.40 76.00 3.00  33.00
8.00 30.40 15.00 36.72 11.50 72.00 1.00  17.00
4.00 9.70 8.80 21.30 14.50 70.00 3.00  27.00
6.00 23.10 10.50 35.35 19.20 78.00 1.00  19.20
4.00 9.00 7.00 19.37 14.20 76.00 2.00  29.00
4.00 9.80 8.00 21.64 15.00 72.00 1.00  28.00
4.00 15.10 9.00 27.35 18.00 82.00 1.00  27.00
4.00 9.80 6.50 23.80 20.70 81.00 1.00  29.90
4.00 9.80 7.00 21.25 17.30 82.00 1.00  36.00
4.00 12.10 8.00 26.70 15.00 79.00 1.00  27.40
8.00 35.00 18.00 44.99 12.50 73.00 1.00  12.00
6.00 14.50 7.60 31.60 19.60 81.00 2.00  30.70
4.00 9.80 6.80 20.45 18.50 77.00 3.00  31.50
6.00 20.00 9.50 31.55 18.20 78.00 1.00  20.50
4.00 14.00 9.00 24.08 19.50 72.00 1.00  20.00
4.00 9.60 6.90 21.89 18.00 72.00 2.00  26.00
8.00 26.00 11.00 33.65 15.50 78.00 1.00  19.90
4.00 10.80 9.30 23.91 15.50 74.00 3.00  26.00
8.00 30.50 14.50 38.80 12.50 77.00 1.00  17.50
8.00 40.00 15.00 37.61 9.50 70.00 1.00  15.00
4.00 8.80 7.60 20.65 14.50 71.00 2.00  30.00
4.00 15.60 10.50 27.45 16.70 78.00 1.00  23.20
8.00 44.00 21.50 47.35 11.00 73.00 1.00  13.00
4.00 9.70 4.60 18.35 20.50 70.00 2.00  26.00
8.00 39.00 19.00 38.50 8.50 70.00 1.00  15.00
4.00 7.90 6.70 20.00 16.00 74.00 2.00  31.00
4.00 11.90 9.70 24.05 14.90 78.00 3.00  23.90
6.00 25.00 7.20 31.58 19.50 75.00 1.00  15.00
8.00 35.10 15.80 43.63 13.00 73.00 1.00  13.00
6.00 19.80 9.50 28.33 15.50 70.00 1.00  22.00
4.00 12.20 9.60 23.00 15.50 77.00 1.00  25.50
8.00 35.00 14.50 40.82 13.00 73.00 1.00  15.00
4.00 12.00 7.90 26.25 18.60 82.00 1.00  28.00
4.00 7.60 5.20 16.49 16.50 74.00 3.00  31.00
8.00 35.00 17.50 41.00 13.00 73.00 1.00  13.00
4.00 12.20 8.60 22.20 14.00 71.00 1.00  23.00
5.00 13.10 10.30 28.30 15.90 78.00 2.00  20.30
4.00 9.10 6.70 18.50 13.80 80.00 3.00  44.60
6.00 25.00 10.00 33.36 17.00 74.00 1.00  15.00
8.00 30.50 14.50 34.25 13.20 78.00 1.00  19.20
8.00 36.00 17.50 38.21 11.00 73.00 1.00  13.00
8.00 31.80 14.50 41.40 13.70 77.00 1.00  15.50
4.00 9.80 7.90 22.55 17.70 76.00 1.00  26.00
8.00 31.80 15.00 33.99 11.00 73.00 1.00  15.00
6.00 23.20 10.00 27.89 15.00 73.00 1.00  18.00
8.00 40.00 17.50 51.40 12.00 71.00 1.00  13.00
8.00 40.00 16.70 49.06 12.50 73.00 1.00  12.00
8.00 35.00 17.00 41.65 11.40 77.00 1.00  15.50
4.00 12.20 8.60 23.95 16.00 72.00 1.00  22.00
4.00 12.00 8.80 21.60 14.50 82.00 3.00  36.00
4.00 9.10 6.00 18.00 16.40 78.00 3.00  36.10
4.00 14.40 9.60 26.65 13.90 82.00 3.00  32.00
6.00 19.90 9.00 26.48 15.00 70.00 1.00  21.00
8.00 35.10 13.80 39.55 13.20 79.00 1.00  16.50
4.00 13.50 8.40 25.25 16.00 82.00 1.00  29.00
8.00 38.30 18.00 49.55 11.50 71.00 1.00  12.00
4.00 9.10 6.70 19.65 15.00 82.00 3.00  38.00
4.00 9.70 7.80 21.88 15.80 80.00 2.00  34.30
6.00 19.90 9.70 27.74 15.50 70.00 1.00  18.00
4.00 13.40 9.00 27.11 15.50 80.00 3.00  29.80
8.00 30.20 13.00 38.70 15.00 76.00 1.00  13.00
8.00 40.00 17.00 47.46 12.00 71.00 1.00  13.00
8.00 30.50 13.00 38.40 15.40 79.00 1.00  17.00
4.00 12.00 8.80 32.70 21.90 76.00 2.00  19.00
4.00 11.20 8.50 25.75 16.20 82.00 1.00  31.00
4.00 9.10 6.80 19.70 17.60 82.00 3.00  31.00
8.00 26.20 11.00 32.21 13.50 75.00 1.00  20.00
8.00 35.10 14.90 43.35 14.50 77.00 1.00  16.00
6.00 17.30 11.50 25.95 11.30 79.00 1.00  28.80
